section,rule_id,pathway_stage,condition,required_facts,missing_data_behavior,provisional_outcome,timing_destination,care_setting,automation_boundary,reviewer_requirement,source_document,source_reference,update_status,implementation_note,safety_priority
Figure 10,F10-05,Decision branch,Normal cervix + suspected oral-contraceptive problem,Contraceptive history; exam,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Adjust oral contraceptive and reassess bleeding,6-8 weeks,Reviewer-confirmed pathway,Clinician-led,Mandatory clinician/specialist confirmation,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 10,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,MEDIUM
Figure 10,F10-06,Entry,"After treatment/adjustment, bleeding resolved in 6-8 weeks",Follow-up symptom status,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,"Resume screening according to the participant’s current due date, or commence screening at age 25; do not automatically trigger an immediate Figure 3 test.",,Primary/community care or programme follow-up,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 10,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,MEDIUM
Figure 10,F10-07,Entry,"After treatment/adjustment, bleeding not resolved in 6-8 weeks",Follow-up symptom status,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Refer to gynaecology,,Specialist gynaecology,Specialist referral,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 10,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,MEDIUM
Figure 10,F10-08,Decision branch,"Normal cervix, no contraceptive cause; STI identified",Sexual history; STI tests,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,"Treat STI, then reassess; persistent bleeding requires further investigation/referral",,Reviewer-confirmed pathway,Clinician-led,Mandatory clinician/specialist confirmation,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 10; R15.03,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,MEDIUM
Figure 10,F10-09,Decision branch,"Normal cervix, no contraceptive cause; STI not identified",Investigations,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Manage according to local Healthcare Pathway or refer to gynaecology,,Specialist gynaecology,Local pathway/clinician-only,Mandatory clinician/specialist confirmation,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 10,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,MEDIUM
Figure 10,F10-10,Decision branch,"Single episode postcoital bleeding, premenopausal, normal cervix, HPV not detected and negative cytology",Menopausal status; episode count; exam; co-test,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,No colposcopy referral required,,Colposcopy service,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,R15.02,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 10,F10-11,Decision branch,Recurrent/persistent postcoital bleeding despite negative co-test,Bleeding persistence; co-test,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Refer to gynaecology; assessment may include colposcopy,,Specialist gynaecology,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,R15.02,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 10,F10-12,Decision branch,Persistent/unexplained intermenstrual bleeding,Bleeding persistence; investigations,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Refer for specialist gynaecological assessment regardless of test results,,Specialist gynaecology,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,R15.05,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 10,F10-13,Decision branch,"Any postmenopausal bleeding, including postcoital",Menopausal status; bleeding,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,"Examine, co-test and refer for specialist gynaecological assessment; do not delay referral for co-test",Urgent/without delay,Specialist gynaecology,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,R15.06,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 10,F10-14,Pregnancy safety,Pregnant participant with abnormal bleeding,Pregnancy; bleeding; obstetric risk; cervix/cancer concern,Do not default unknown to false or normal; stop and request information or clinician review.,Route to clinician/obstetric assessment as appropriate while retaining Figure 10 cancer-suspicion escalation.,Immediate,Obstetric/gynaecological assessment,Clinician-only,Mandatory clinician confirmation,NCSP June 2023 v1.1 + 2026 addendum/immune guidance as applicable,Sec. 11 + Sec. 15,Source synthesis,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,CRITICAL
Figure 10,F10-15,Hysterectomy safety,Post-hysterectomy participant with abnormal bleeding,Hysterectomy; vault/cancer history; bleeding,Do not default unknown to false or normal; stop and request information or clinician review.,Remain in symptom investigation; do not close based on negative vault screening.,Immediate,Gynaecological assessment,Safety router,Mandatory clinician confirmation,NCSP June 2023 v1.1 + 2026 addendum/immune guidance as applicable,Sec. 10 + Sec. 15,Source synthesis,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,CRITICAL
Special populations,DES-01,DES exposure,Known in-utero DES exposure,DES exposure status; cervix/vagina status; prior colposcopy,Do not default unknown to false or normal; stop and request information or require clinician review.,Refer for initial colposcopy and specialist assessment.,Initial assessment,Colposcopy,Clinician-only,Mandatory specialist confirmation,NCSP June 2023 v1.1,Section 14,v2.1 QA correction,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Special populations,DES-02,DES exposure,DES exposure with vaginal adenosis present,Colposcopy finding; adenosis status,Do not default unknown to false or normal; stop and request information or require clinician review.,Annual colposcopy under specialist direction.,Annual,Colposcopy,Clinician-only,Mandatory specialist confirmation,NCSP June 2023 v1.1,Section 14,v2.1 QA correction,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Special populations,DES-03,DES exposure,DES exposure with vaginal adenosis absent after specialist assessment,Colposcopy finding; adenosis status,Do not default unknown to false or normal; stop and request information or require clinician review.,"Return to the applicable regular screening interval, with specialist confirmation.",Regular interval,Primary/community care,Clinician-led,Mandatory specialist confirmation,NCSP June 2023 v1.1,Section 14,v2.1 QA correction,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,MEDIUM
Special populations,DES-04,DES exposure,Any screen-detected abnormality in a DES-exposed participant,HPV/cytology; colposcopy; lesion status,Do not default unknown to false or normal; stop and request information or require clinician review.,Management must be directed by a colposcopist; do not use an autonomous routine pathway.,,Colposcopy,Clinician-only,Mandatory specialist confirmation,NCSP June 2023 v1.1,Section 14,v2.1 QA correction,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,CRITICAL
Special populations,U25-01,Screening age,Asymptomatic participant aged under 25 who is not already in an indicated follow-up pathway,Date of birth; symptoms; prior screening/follow-up state,Do not default unknown to false or normal; stop and request information or require clinician review.,Routine HPV screening is not recommended. Symptoms and established follow-up pathways override this age gate.,No routine screen,Primary/community care,Deterministic provisional,Reviewer confirmation required,NCSP June 2023 v1.1,Screening age and interval; Section 12,v2.1 QA correction,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Special populations,U25-02,Screening age,Participant under 25 already in screening or follow-up,Date of birth; prior result; next indicated appointment,Do not default unknown to false or normal; stop and request information or require clinician review.,Recall at the next clinically indicated appointment rather than applying a new routine-screening interval.,As clinically indicated,Primary/community or specialist care,Clinician-led,Mandatory clinician confirmation,NCSP June 2023 v1.1,Screening age and interval,v2.1 QA correction,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Special populations,U25-03,Early sexual activity / abuse,"Participant under 25 with early sexual activity, sexual abuse history, symptoms, or another clinical concern",Age; symptoms; relevant clinical history; safeguarding context,Do not default unknown to false or normal; stop and request information or require clinician review.,"Do not automatically initiate routine screening. Require clinician review and apply symptom, safeguarding, or specialist pathways as appropriate.",,Clinician/safeguarding pathway,Clinician-only,Mandatory clinician confirmation,NCSP June 2023 v1.1,Section 12,v2.1 QA correction,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,CRITICAL
2026 overlays,A26-01,Overlay / modifier,Type 3 TZ + HPV positive + low-grade cytology + normal colposcopy,TZ; HPV; cytology; colposcopy,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,MDM cytology review not required before observation,,Reviewer-confirmed pathway,Deterministic provisional,Mandatory clinician/specialist confirmation,NCSP guideline addendum v1.0 (2 Feb 2026) + June 2023 base,2026 addendum R6.05,2026 controlling update,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,MEDIUM
2026 overlays,A26-02,Decision branch,"CIN2 on biopsy, age <30, Type 1/2 TZ, no CIN3/invasion",Age; biopsy; TZ; exclusion of CIN3/invasion; participant preference,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,"MDM review. If CIN2 confirmed and participant agrees, active surveillance with colposcopy/cytology every 6 months up to 24 months","6, 12, 18, 24 months",Colposcopy service,Specialist/shared decision,Mandatory clinician/specialist confirmation,NCSP guideline addendum v1.0 (2 Feb 2026) + June 2023 base,2026 addendum R8.03,2026 controlling update,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
2026 overlays,A26-03,Decision branch,Active surveillance: biopsy downgraded to LSIL,MDM biopsy review,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Discharge from colposcopy with HPV +/- cytology in 12 months,12 months,Colposcopy service,Deterministic provisional,Reviewer confirmation required,NCSP guideline addendum v1.0 (2 Feb 2026) + June 2023 base,2026 addendum Fig. 1,2026 controlling update,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
2026 overlays,A26-04,Decision branch,Active surveillance: CIN2 regresses,Follow-up colposcopy/cytology/histology,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Discharge from colposcopy with Test of Cure at 12 months,12 months,Colposcopy service,Deterministic provisional,Reviewer confirmation required,NCSP guideline addendum v1.0 (2 Feb 2026) + June 2023 base,2026 addendum Fig. 1,2026 controlling update,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
2026 overlays,A26-05,Follow-up,Active surveillance: CIN3 diagnosed at any follow-up or CIN2 persists at 24 months,Biopsy/follow-up duration,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Treatment recommended,Immediate after diagnosis / at 24 months,Reviewer-confirmed pathway,Specialist-led,Mandatory clinician/specialist confirmation,NCSP guideline addendum v1.0 (2 Feb 2026) + June 2023 base,2026 addendum R8.03/Fig. 1,2026 controlling update,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
2026 overlays,A26-06,Overlay / modifier,"Positive HSIL excision margins, age <50",Age; margins,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Test of Cure can be in primary/community care,6 and 18 months,Primary/community care,Deterministic provisional,Reviewer confirmation required,NCSP guideline addendum v1.0 (2 Feb 2026) + June 2023 base,2026 addendum R8.06,2026 controlling update,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
2026 overlays,A26-07,Overlay / modifier,HPV-detected AIS with clear excision margins,HPV; AIS; margins,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Primary/community co-tests at 6 and 18 months,6 and 18 months,Primary/community care,Deterministic provisional,Reviewer confirmation required,NCSP guideline addendum v1.0 (2 Feb 2026) + June 2023 base,2026 addendum R9.14,2026 controlling update,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,LOW
2026 overlays,A26-08,Decision branch,Stage 1a1 cervical cancer treated by local excision,Cancer stage/type; treatment; ToC status,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,"Return to regular screening only after successful treatment and ToC; HPV detected or abnormal cytology during ToC -> colposcopy; after completed ToC, HPV detected -> Figure 3",,Colposcopy service,Specialist-led,Mandatory clinician/specialist confirmation,NCSP guideline addendum v1.0 (2 Feb 2026) + June 2023 base,2026 addendum p6,2026 controlling update,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
2026 overlays,A26-09,Overlay / modifier,Stage 1a1 cervical cancer treated by total hysterectomy,Cancer stage/type; hysterectomy; ToC,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Cease screening after completing Test of Cure,,Primary/community care or programme follow-up,Specialist-led,Mandatory clinician/specialist confirmation,NCSP guideline addendum v1.0 (2 Feb 2026) + June 2023 base,2026 addendum p6,2026 controlling update,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
2026 overlays,A26-10,Decision branch,Other previous cervical/vaginal cancer,Cancer history,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Outside NCSP screening recommendations; clinician and participant determine testing/management,,Primary/community care or programme follow-up,Clinician-only,Mandatory clinician/specialist confirmation,NCSP guideline addendum v1.0 (2 Feb 2026) + June 2023 base,2026 addendum p6,2026 controlling update,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,MEDIUM
2026 overlays,A26-11,Overlay / modifier,HSIL without ToC before hysterectomy for non-cervical gynaecological cancer,Prior HSIL; hysterectomy indication; ToC status,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Undertake ToC; cease after two HPV-not-detected/negative-cytology co-tests 12 months apart,12 months apart,Primary/community care or programme follow-up,Deterministic provisional,Reviewer confirmation required,NCSP guideline addendum v1.0 (2 Feb 2026) + June 2023 base,2026 addendum p6,2026 controlling update,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,LOW
2026 overlays,A26-12,Overlay / modifier,Gynaecological cancer + subtotal hysterectomy,Hysterectomy type,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Continue cervical screening and register notifications,,Primary/community care or programme follow-up,Deterministic provisional,Reviewer confirmation required,NCSP guideline addendum v1.0 (2 Feb 2026) + June 2023 base,2026 addendum p6,2026 controlling update,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,MEDIUM
2026 overlays,A26-13,CIN2 active surveillance,CIN2 remains under surveillance before 24 months,Follow-up histology/cytology/colposcopy; surveillance duration; MDM review date,Do not default unknown to false or normal; stop and request information or require clinician review.,Complete a follow-up MDM review before the 24-month endpoint and document the revised plan.,Before 24 months,Colposcopy/MDM,Clinician-only,Mandatory MDM confirmation,NCSP guideline addendum v1.0 (2 Feb 2026),2026 addendum CIN2 surveillance figure,v2.1 QA correction,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
2026 overlays,A26-14,CIN2 active surveillance,Participant requests treatment at any surveillance event while CIN2 remains,Participant preference; current CIN2 status; fertility/pregnancy considerations; clinician plan,Do not default unknown to false or normal; stop and request information or require clinician review.,Offer clinician-led treatment planning without requiring surveillance to continue to 24 months.,At any surveillance event,Colposcopy,Shared decision / clinician-only,Mandatory clinician confirmation,NCSP guideline addendum v1.0 (2 Feb 2026),2026 addendum CIN2 surveillance figure,v2.1 QA correction,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Immune-deficiency classifier,IMM-01,Operational provenance,Immune-deficiency status is assigned or changed,Classifier; date; source condition/medication; threshold/duration; rationale for “highly considered”; specialist input; laboratory-request flag,Do not default unknown to false or normal; stop and request information or require clinician review.,Store the provenance and record whether immune-deficient status was indicated on the laboratory request. Unknown or unlisted combinations require clinician review.,,Primary/community or specialist care,Workflow/audit rule,Mandatory clinician confirmation,"NCSP immune-deficiency guidance v1.0.1, 12 Mar 2026","Page 3, item 5; pages 1-3 classifier",v2.1 QA correction,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
